acceptedScientificName	decimalLongitude	decimalLatitude	coordinateUncertaintyInMeters
Parus major	11.120543	46.122147	2
Parus major	7.664927	44.792758	565
Parus major	14.382191	42.130788	31
Parus major	7.665047	44.792338	122
Parus major	9.816048	45.722457	220
Parus major	8.881783	45.806476	4
Parus major	13.459918	46.042981	27063
Parus major	14.402003	41.408086	106
Parus major	9.248161	45.497292	98
Parus major	9.248108	45.497335	57
Parus major	12.596456	45.892511	
Parus major	9.655287	45.771226	11
Parus major	10.796287	45.372935	1466
Parus major	10.938279	44.65611	1
Parus major	12.319507	45.437736	1
Parus major	10.947215	44.633525	1
Parus major	10.944424	44.631684	1
Parus major	12.323675	45.44335	1
Parus major	10.93085	44.643819	1
Parus major	9.732241	45.668765	70
Parus major	9.433767	46.178862	110
Parus major	7.727156	45.074335	77
Parus major	11.120518	46.122815	2
Parus major	11.416417	45.051602	16
Parus major	8.850761	45.799606	31
Parus major	11.658876	44.904933	
Parus major	8.940202	45.015698	182
Parus major	7.348681	44.888679	15
Parus major	7.240146	44.837569	31
Parus major	7.44402	44.990903	31
Parus major	9.255652	45.494219	671
Parus major	8.188749	44.862823	5
Parus major	9.422227	45.715378	19
Parus major	7.664927	44.792758	565
Parus major	10.187426	45.5494	79
Parus major	7.453678	45.001554	10
Parus major	7.45325	45.004802	5
Parus major	7.452218	45.006908	8
Parus major	13.460028	41.408947	
Parus major	11.056398	46.10201	9
Parus major	9.920193	45.331582	917
Parus major	11.314978	45.99979	
Parus major	12.489314	41.885681	3
Parus major	12.881141	43.028182	5
Parus major	12.879938	43.026233	5
Parus major	12.728795	42.963609	5
Parus major	12.729703	42.962927	5
Parus major	12.7299	42.963265	5
Parus major	12.4799	41.931	
Parus major	13.626	42.7572	
Parus major	16.6873	39.2627	
Parus major	16.4494	39.8739	
Parus major	12.453722	44.070307	66
Parus major	18.198373	40.375688	61
Parus major	10.998828	45.906383	
Parus major	13.240614	46.244949	63281
Parus major	11.157522	46.137079	
Parus major	13.590416	46.061519	27063
Parus major	10.933599	44.649953	1
Parus major	7.700678	44.499416	97
Parus major	9.153128	45.452758	13
Parus major	8.201747	44.918328	3
Parus major	10.309663	44.804309	5
Parus major	17.962858	40.260083	2
Parus major	7.749258	45.045623	183
Parus major	12.205818	42.410219	8
Parus major	10.788528	45.198564	3
Parus major	14.952259	40.323955	8
Parus major	10.540131	45.117676	190
Parus major	8.147452	44.831764	
Parus major	10.317022	42.802281	8
Parus major	9.232768	45.419332	
Parus major	16.568108	38.770227	31
Parus major	14.873046	41.458393	100
Parus major	17.96305	40.259702	2
Parus major	10.280457	45.459118	2
Parus major	11.908111	44.427232	8
Parus major	11.195857	43.844079	4
Parus major	11.389164	45.201864	27190
Parus major	12.110957	45.843076	11
Parus major	11.295069	46.446857	15
Parus major	12.149423	45.854372	11
Parus major	16.568111	38.770371	15
Parus major	14.777087	40.944003	6
Parus major	10.757963	45.554581	8
Parus major	14.016639	37.97741	31
Parus major	9.727927	45.57335	73
Parus major	8.619441	44.373857	99
Parus major	8.613612	44.371432	58
Parus major	7.240146	44.837569	31
Parus major	8.951555	45.759707	4
Parus major	17.962834	40.259782	4
Parus major	8.944597	45.0179	61
Parus major	10.848209	45.882972	48
Parus major	9.208425	45.56598	11
Parus major	10.540064	44.50345	
Parus major	16.523596	40.855584	15
Parus major	11.146527	46.658964	
Parus major	10.997212	46.070114	106
Parus major	11.641155	44.640259	27285
Parus major	7.048275	44.895694	8
Parus major	8.841957	44.620015	26
Parus major	16.556356	38.683397	15
Parus major	8.189918	44.924248	3
Parus major	7.668151	44.76692	3
Parus major	7.662784	44.794156	23
Parus major	7.724628	44.852855	5
Parus major	9.247832	45.495663	
Parus major	14.385011	37.833614	6193
Parus major	15.270645	37.018063	
Parus major	11.203264	43.833703	
Parus major	8.255611	45.140308	2633
Parus major	12.203722	45.690306	6357
Parus major	11.186265	44.491117	
Parus major	16.6895	39.3802	
Parus major	16.6946	39.3463	
Parus major	16.8034	39.434	
Parus major	11.642536	46.696476	7
Parus major	10.932265	44.62971	1
Parus major	10.441097	45.124057	23
Parus major	10.931439	44.631672	1
Parus major	9.564661	39.215512	3300
Parus major	8.873239	45.802777	19
Parus major	11.298134	44.465589	106
Parus major	11.056239	46.096423	31
Parus major	8.832955	44.709522	40
Parus major	7.240146	44.837569	31
Parus major	17.870955	40.286042	2
Parus major	9.175895	45.47233	4
Parus major	11.15311	46.679549	2
Parus major	13.690002	41.697471	8
Parus major	9.736689	45.712655	5
Parus major	11.271425	44.37639	13
Parus major	12.249535	45.512199	44
Parus major	11.264953	45.98703	
Parus major	9.122098	45.453212	63
Parus major	9.826357	45.752574	19
Parus major	7.240146	44.837569	31
Parus major	10.396287	43.7198	13
Parus major	11.903211	45.395571	4
Parus major	13.55672	46.145933	27063
Parus major	10.396695	43.719833	214
Parus major	10.396695	43.719833	214
Parus major	10.396695	43.719833	214
Parus major	10.396695	43.719833	214
Parus major	15.087983	37.501373	193
Parus major	7.700678	44.499416	97
Parus major	11.979377	44.743527	746
Parus major	10.396036	43.721097	7
Parus major	9.714056	45.557968	7
Parus major	12.285506	45.718811	5
Parus major	13.527203	46.157789	27063
Parus major	8.709629	45.541876	64
Parus major	7.453394	45.003582	17
Parus major	16.206005	38.933083	339
Parus major	9.685936	45.764054	11
Parus major	11.78049	44.790309	27285
Parus major	7.452798	45.003973	31
Parus major	9.386369	46.150181	31
Parus major	7.468285	44.989945	409
Parus major	7.468135	44.990051	375
Parus major	10.700334	45.309965	131
Parus major	11.021729	45.431678	1
Parus major	12.356308	45.429122	5
Parus major	12.711656	42.967946	5
Parus major	16.5453	39.3357	
Parus major	9.708878	45.584795	208
Parus major	7.240146	44.837569	31
Parus major	11.680075	46.419769	866
Parus major	11.264838	45.987045	4
Parus major	7.664927	44.792758	565
Parus major	9.743275	45.577879	36
Parus major	18.060489	40.269686	2402
Parus major	15.066634	37.280803	30
Parus major	9.652767	45.723074	8
Parus major	9.262248	44.899555	4
Parus major	9.263799	44.898808	15
Parus major	9.722406	40.370976	4
Parus major	13.28105	45.828484	182
Parus major	10.936892	44.197313	896
Parus major	12.729646	42.963993	5
Parus major	12.71631	42.970498	5
Parus major	7.563937	44.224455	14
Parus major	10.996313	45.823642	4
Parus major	9.522002	45.605057	80
Parus major	9.528046	45.526774	83
Parus major	8.179527	45.673726	26
Parus major	7.18562	44.579446	515
Parus major	8.979798	45.59996	28
Parus major	8.192113	44.949351	271
Parus major	9.997638	45.186863	5
Parus major	9.259883	44.900757	4
Parus major	9.262455	44.900388	4
Parus major	11.055607	46.102334	
Parus major	11.254729	46.024124	25
Parus major	11.340913	46.001239	8
Parus major	12.653645	43.07111	4
Parus major	12.229292	44.734517	43
Parus major	11.8577	42.7517	
Parus major	7.589821	45.812487	111
Parus major	7.591159	45.811135	183
Parus major	9.261019	44.899427	8
Parus major	14.025004	37.99862	187
Parus major	17.832448	40.284921	8
Parus major	7.591013	45.812912	150
Parus major	7.720565	45.069466	
Parus major	16.567445	38.769609	15
Parus major	7.397015	44.232935	190
Parus major	9.807708	45.753941	5
Parus major	11.341229	46.506268	1
Parus major	9.38299	46.15015	61
Parus major	9.571387	45.666145	196
Parus major	12.463958	41.890522	48
Parus major	9.742578	45.576027	199
Parus major	9.865015	45.873177	27
Parus major	7.240146	44.837569	31
Parus major	11.050521	46.097675	46
Parus major	11.605885	44.840659	1
Parus major	11.546304	45.554669	5
Parus major	18.473269	40.048526	7
Parus major	8.497687	45.941942	4
Parus major	11.280361	45.224247	529
Parus major	9.456543	45.70737	4
Parus major	10.205568	43.94899	450
Parus major	11.278035	45.229715	1571
Parus major	12.35574	46.694743	31
Parus major	12.353744	46.666429	31
Parus major	12.535474	46.046766	26
Parus major	17.962922	40.259857	4
Parus major	7.456145	44.99958	4
Parus major	7.456056	44.999476	8
Parus major	13.054613	41.300035	2654
Parus major	11.12431	46.070573	665
Parus major	12.535549	46.046913	44
Parus major	7.959807	44.842699	27253
Parus major	12.4358	42.9427	
Parus major	9.592082	45.755929	2
Parus major	12.356311	45.429539	
Parus major	11.279875	45.224859	1123
Parus major	9.610726	46.090241	8
Parus major	12.362692	46.686181	31
Parus major	11.012078	45.93539	
Parus major	12.215684	46.700307	31
Parus major	10.535199	45.118203	9
Parus major	10.437281	45.138279	
Parus major	12.349164	45.388526	183
Parus major	8.661575	45.417922	488
Parus major	11.136762	46.041597	9
Parus major	8.69525	46.062319	64
Parus major	12.147729	45.852575	95
Parus major	9.626415	45.983419	8
Parus major	10.932814	44.64959	124
Parus major	12.362879	45.428238	1
Parus major	12.360929	45.425953	1
Parus major	11.054661	46.097716	74
Parus major	12.519874	41.860708	822
Parus major	12.519874	41.860708	822
Parus major	12.510291	41.869378	31
Parus major	12.510291	41.869378	31
Parus major	10.934148	45.81943	
Parus major	9.700482	45.588173	41
Parus major	11.050041	44.676516	468
Parus major	8.696015	46.062648	3
